year,proposer_type,submissions,approved,success_rate
1897.0,Government,9,1,0.1111111111111111
1897.0,Private,388,2,0.005154639175257732
1898.0,Government,19,2,0.10526315789473684
1898.0,Private,160,3,0.01875
1900.0,Government,5,1,0.2
1900.0,Private,120,9,0.075
1901.0,Private,372,36,0.0967741935483871
1901.0,Government,48,2,0.041666666666666664
1903.0,Government,21,0,0.0
1903.0,Private,197,0,0.0
1904.0,Government,18,0,0.0
1904.0,Private,121,0,0.0
1906.0,Government,11,0,0.0
1906.0,Private,131,0,0.0
1907.0,Government,8,0,0.0
1907.0,Private,140,0,0.0
,Government,17,0,0.0
,Private,116,0,0.0
